"contrast","gene_id","gene_symbol","effect","p_exact","q_storey"
"R_Tumor","ENSG00000173744.18","AGFG1",0.144444444444444,0.00164566442665783,0.0793079109945445
"R_Tumor","ENSG00000143815.15","LBR",0.161111111111111,0.00164934600255639,0.0793079109945445
"R_Tumor","ENSG00000274286.2","ADRA2B",0.844444444444444,0.00165452321866375,0.0793079109945445
"R_Tumor","ENSG00000164889.15","SLC4A2",0.833333333333333,0.00166326696142284,0.0793079109945445
"R_Tumor","ENSG00000172977.13","KAT5",0.833333333333333,0.00166591309409993,0.0793079109945445
"R_Tumor","ENSG00000090316.16","MAEA",0.861111111111111,0.00166878932527068,0.0793079109945445
"R_Tumor","ENSG00000062716.13","VMP1",0.155555555555556,0.00166890437451751,0.0793079109945445
"R_Tumor","ENSG00000130748.7","TMEM160",0.872222222222222,0.00167005486698581,0.0793079109945445
"R_Tumor","ENSG00000181631.7","P2RY13",0.15,0.00167695782179562,0.0793079109945445
"R_Tumor","ENSG00000179981.11","TSHZ1",0.85,0.00171078230036367,0.0793079109945445
"R_Tumor","ENSG00000132005.9","RFX1",0.844444444444444,0.00171687991044567,0.0793079109945445
"R_Tumor","ENSG00000160445.11","ZER1",0.85,0.00171734010743299,0.0793079109945445
"R_Tumor","ENSG00000143546.10","S100A8",0.166666666666667,0.0017250484069706,0.0793079109945445
"R_Tumor","ENSG00000011478.13","QPCTL",0.861111111111111,0.00173471254370433,0.0793079109945445
"R_Tumor","ENSG00000132376.20","INPP5K",0.844444444444444,0.00174127035077365,0.0793079109945445
"R_Tumor","ENSG00000123154.12","WDR83",0.838888888888889,0.00174506697591904,0.0793079109945445
"R_Tumor","ENSG00000111247.15","RAD51AP1",0.166666666666667,0.00174575727140002,0.0793079109945445
"R_Tumor","ENSG00000139618.16","BRCA2",0.161111111111111,0.00175277527545666,0.0793079109945445
"R_Tumor","ENSG00000088256.9","GNA11",0.85,0.00176474039712699,0.0793079109945445
"R_Tumor","ENSG00000188157.15","AGRN",0.833333333333333,0.00176888217001287,0.0793079109945445
"R_Tumor","ENSG00000185442.13","FAM174B",0.844444444444444,0.00177302394289876,0.0793079109945445
"R_Tumor","ENSG00000143845.15","ETNK2",0.844444444444444,0.00177348413988608,0.0793079109945445
"R_Tumor","ENSG00000166452.12","AKIP1",0.844444444444444,0.0017773958142783,0.0793079109945445
"R_Tumor","ENSG00000179639.10","FCER1A",0.161111111111111,0.00181029989887171,0.0793079109945445
"R_Tumor","ENSG00000104866.11","PPP1R37",0.85,0.00181052999736537,0.0793079109945445
"R_Tumor","ENSG00000105325.15","FZR1",0.85,0.00181052999736537,0.0793079109945445
"R_Tumor","ENSG00000129535.13","NRL",0.855555555555556,0.00182042423259276,0.0793079109945445
"R_Tumor","ENSG00000079435.10","LIPE",0.833333333333333,0.00182962817233917,0.0793079109945445
"R_Tumor","ENSG00000175305.17","CCNE2",0.166666666666667,0.00183837191509826,0.0793079109945445
"R_Tumor","ENSG00000116954.8","RRAGC",0.15,0.00184009765380071,0.0793079109945445
"R_Tumor","ENSG00000151893.15","CACUL1",0.138888888888889,0.0018664439313248,0.0793079109945445
"R_Tumor","ENSG00000183207.14","RUVBL2",0.861111111111111,0.0018664439313248,0.0793079109945445
"R_Tumor","ENSG00000131470.15","PSMC3IP",0.172222222222222,0.0018889935837035,0.0793079109945445
"R_Tumor","ENSG00000092853.14","CLSPN",0.166666666666667,0.00189002902692498,0.0793079109945445
"R_Tumor","ENSG00000144579.8","CTDSP1",0.844444444444444,0.00191096798984805,0.0793079109945445
"R_Tumor","ENSG00000140525.19","FANCI",0.166666666666667,0.00191315392553783,0.0793079109945445
"R_Tumor","ENSG00000123219.13","CENPK",0.166666666666667,0.00191372917177198,0.0793079109945445
"R_Tumor","ENSG00000123496.8","IL13RA2",0.166666666666667,0.00191936658486665,0.0793079109945445
"R_Tumor","ENSG00000146410.12","MTFR2",0.161111111111111,0.00191971173260714,0.0793079109945445
"R_Tumor","ENSG00000006555.11","TTC22",0.866666666666667,0.00192212776679057,0.0793079109945445
"R_Tumor","ENSG00000134755.17","DSC2",0.161111111111111,0.00193144675578381,0.0793079109945445
"R_Tumor","ENSG00000154146.13","NRGN",0.827777777777778,0.00194502256690977,0.0793079109945445
"R_Tumor","ENSG00000177830.18","CHID1",0.866666666666667,0.00196642172682017,0.0793079109945445
"R_Tumor","ENSG00000097007.19","ABL1",0.844444444444444,0.00196780231778213,0.0793079109945445
"R_Tumor","ENSG00000108786.11","HSD17B1",0.833333333333333,0.00197539556807291,0.0793079109945445
"R_Tumor","ENSG00000136878.14","USP20",0.85,0.00201025548986244,0.0793079109945445
"R_Tumor","ENSG00000130175.10","PRKCSH",0.85,0.00201704339542541,0.0793079109945445
"R_Tumor","ENSG00000167674.15","HDGFL2",0.827777777777778,0.00202969881257672,0.0793079109945445
"R_Tumor","ENSG00000156502.14","SUPV3L1",0.172222222222222,0.00203372553621578,0.0793079109945445
"R_Tumor","ENSG00000197747.9","S100A10",0.166666666666667,0.00208020543193514,0.0793079109945445
"R_Tumor","ENSG00000162910.19","MRPL55",0.861111111111111,0.00208170107214393,0.0793079109945445
"R_Tumor","ENSG00000204161.14","TMEM273",0.161111111111111,0.00209067491339668,0.0793079109945445
"R_Tumor","ENSG00000116906.13","GNPAT",0.155555555555556,0.00209332104607377,0.0793079109945445
"R_Tumor","ENSG00000137575.12","SDCBP",0.161111111111111,0.00209378124306109,0.0793079109945445
"R_Tumor","ENSG00000185825.17","BCAP31",0.827777777777778,0.00209447153854207,0.0793079109945445
"R_Tumor","ENSG00000187260.16","WDR86",0.827777777777778,0.00209447153854207,0.0793079109945445
"R_Tumor","ENSG00000090006.18","LTBP4",0.838888888888889,0.00211080853159195,0.0793079109945445
"R_Tumor","ENSG00000134698.11","AGO4",0.161111111111111,0.00211437505824368,0.0793079109945445
"R_Tumor","ENSG00000100300.18","TSPO",0.866666666666667,0.00211518040297149,0.0793079109945445
"R_Tumor","ENSG00000162105.19","SHANK2",0.866666666666667,0.00211518040297149,0.0793079109945445
"R_Tumor","ENSG00000130733.11","YIPF2",0.85,0.0021197823728447,0.0793079109945445
"R_Tumor","ENSG00000101161.8","PRPF6",0.833333333333333,0.00212403919497741,0.0793079109945445
"R_Tumor","ENSG00000123454.12","DBH",0.827777777777778,0.0021255348351862,0.0793079109945445
"R_Tumor","ENSG00000171497.5","PPID",0.166666666666667,0.00213335818397065,0.0793079109945445
